237  [main] DEBUG org.testng.TestNG - suiteXmlPath: "/Users/anastasiiahontsova/Library/Caches/JetBrains/IdeaIC2022.1/temp-testng-customsuite.xml"
350  [main] DEBUG org.testng.internal.Graph - [Graph] ADDING NODE TestBase.setBeforeTestLogger(java.lang.reflect.Method)[pri:0, instance:null] 2120423043
350  [main] DEBUG org.testng.internal.Graph - [Graph] ADDING NODE TestBase.setUp()[pri:0, instance:null] 129488633
351  [main] DEBUG org.testng.internal.Graph - [Graph] ================ SORTING
354  [main] DEBUG org.testng.internal.Graph - [Graph] =============== DONE SORTING
354  [main] DEBUG org.testng.internal.Graph - [Graph] ====== SORTED NODES
354  [main] DEBUG org.testng.internal.Graph - [Graph] ====== END SORTED NODES
355  [main] DEBUG org.testng.internal.Graph - [Graph] ADDING NODE TestBase.tearDown(org.testng.ITestResult)[pri:0, instance:null] -1644610942
355  [main] DEBUG org.testng.internal.Graph - [Graph] ADDING NODE TestBase.setAfterTestLogger(java.lang.reflect.Method)[pri:0, instance:null] 1621457626
355  [main] DEBUG org.testng.internal.Graph - [Graph] ================ SORTING
356  [main] DEBUG org.testng.internal.Graph - [Graph] =============== DONE SORTING
356  [main] DEBUG org.testng.internal.Graph - [Graph] ====== SORTED NODES
356  [main] DEBUG org.testng.internal.Graph - [Graph] ====== END SORTED NODES
361  [main] DEBUG org.testng.internal.Graph - [Graph] ADDING NODE PhoneBookLoginPageTests.testLoginFormWithDataProviderFromFilePositive(com.telran.hontsova.qa.pro.phonebook.model.User)[pri:0, instance:com.telran.hontsova.qa.pro.phonebook.tests.PhoneBookLoginPageTests@2b175c00] -1616357568
361  [main] DEBUG org.testng.internal.Graph - [Graph] ================ SORTING
361  [main] DEBUG org.testng.internal.Graph - [Graph] =============== DONE SORTING
362  [main] DEBUG org.testng.internal.Graph - [Graph] ====== SORTED NODES
362  [main] DEBUG org.testng.internal.Graph - [Graph] ====== END SORTED NODES
364  [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  /Users/anastasiiahontsova/Library/Caches/JetBrains/IdeaIC2022.1/temp-testng-customsuite.xml

396  [main] INFO  c.t.h.qa.pro.phonebook.fw.TestBase - Start test by Anastasiia.
2262 [main] INFO  c.t.h.q.pro.phonebook.fw.MyListener - Trying to find element by locator:By.cssSelector: .login_login__3EHKB input:nth-child(1)
2274 [main] INFO  c.t.h.q.pro.phonebook.fw.MyListener - Found element by locatorBy.cssSelector: .login_login__3EHKB input:nth-child(1)
2346 [main] INFO  c.t.h.q.pro.phonebook.fw.MyListener - Trying to find element by locator:By.cssSelector: .login_login__3EHKB input:nth-child(2)
2352 [main] INFO  c.t.h.q.pro.phonebook.fw.MyListener - Found element by locatorBy.cssSelector: .login_login__3EHKB input:nth-child(2)
2393 [main] INFO  c.t.h.q.pro.phonebook.fw.MyListener - Trying to find element by locator:By.xpath: //button[contains(text(), 'Login')]
2400 [main] INFO  c.t.h.q.pro.phonebook.fw.MyListener - Found element by locatorBy.xpath: //button[contains(text(), 'Login')]
